invoice_date,order_id,net_sales,cogs,region,category
2023-01-01,ORD-00000,3391.14,14730.73,South,Electronics
2023-01-02,ORD-00001,24066.49,9381.29,East,Grocery
2023-01-03,ORD-00002,22760.23,7267.09,West,Electronics
2023-01-04,ORD-00003,17642.82,11469.2,North,Electronics
2023-01-05,ORD-00004,7013.81,13569.25,South,Apparel
2023-01-06,ORD-00005,24244.82,10866.3,North,Apparel
2023-01-07,ORD-00006,19579.4,14455.53,North,Electronics
2023-01-08,ORD-00007,18063.81,11773.68,South,Apparel
2023-01-09,ORD-00008,11509.36,13028.66,South,Electronics
2023-01-10,ORD-00009,7169.92,1888.74,East,Electronics
2023-01-11,ORD-00010,2861.58,11039.72,North,Apparel
2023-01-12,ORD-00011,22613.76,6713.31,East,Electronics
2023-01-13,ORD-00012,11666.52,8385.94,North,Apparel
2023-01-14,ORD-00013,5457.9,9880.72,North,Apparel
2023-01-15,ORD-00014,7995.94,14553.26,West,Electronics
2023-01-16,ORD-00015,14690.88,14771.76,East,Electronics
2023-01-17,ORD-00016,4830.93,4465.78,West,Apparel
2023-01-18,ORD-00017,21487.05,11059.55,North,Grocery
2023-01-19,ORD-00018,19083.73,11299.76,North,Grocery
2023-01-20,ORD-00019,18126.84,5328.09,South,Grocery
2023-01-21,ORD-00020,11086.28,2033.27,South,Grocery
2023-01-22,ORD-00021,15869.07,806.02,East,Apparel
2023-01-23,ORD-00022,14810.4,11704.68,South,Grocery
2023-01-24,ORD-00023,16421.24,7447.56,North,Electronics
2023-01-25,ORD-00024,2568.89,14785.99,East,Grocery
2023-01-26,ORD-00025,10687.28,7081.61,North,Apparel
2023-01-27,ORD-00026,1519.55,14673.17,North,Electronics
2023-01-28,ORD-00027,12602.78,6291.32,South,Grocery
2023-01-29,ORD-00028,8581.6,11946.5,South,Apparel
2023-01-30,ORD-00029,4040.84,1455.33,West,Grocery
2023-01-31,ORD-00030,3033.37,8420.83,East,Electronics
2023-02-01,ORD-00031,14897.29,12070.48,East,Electronics
2023-02-02,ORD-00032,4679.53,13885.58,South,Grocery
2023-02-03,ORD-00033,23165.44,12374.23,East,Grocery
2023-02-04,ORD-00034,14736.0,747.17,West,Apparel
2023-02-05,ORD-00035,8998.31,5715.99,North,Grocery
2023-02-06,ORD-00036,14977.43,920.74,East,Apparel
2023-02-07,ORD-00037,1058.69,1817.38,North,Electronics
2023-02-08,ORD-00038,23984.7,10194.52,West,Grocery
2023-02-09,ORD-00039,12316.43,10756.22,East,Electronics
2023-02-10,ORD-00040,19677.01,11651.07,North,Grocery
2023-02-11,ORD-00041,2526.88,13008.76,South,Electronics
2023-02-12,ORD-00042,12423.13,11143.59,South,Grocery
2023-02-13,ORD-00043,12522.32,12052.9,East,Grocery
2023-02-14,ORD-00044,23476.75,924.66,North,Electronics
2023-02-15,ORD-00045,14507.34,3671.12,West,Electronics
2023-02-16,ORD-00046,12100.49,9404.09,South,Grocery
2023-02-17,ORD-00047,7040.9,12900.25,North,Apparel
2023-02-18,ORD-00048,8623.44,266.6,West,Electronics
2023-02-19,ORD-00049,13256.47,7816.51,East,Grocery
2023-02-20,ORD-00050,11253.33,10223.85,West,Electronics
2023-02-21,ORD-00051,1029.5,638.19,North,Apparel
2023-02-22,ORD-00052,20744.15,6140.06,North,Grocery
2023-02-23,ORD-00053,22455.94,13455.4,South,Apparel
2023-02-24,ORD-00054,3936.1,10139.87,West,Electronics
2023-02-25,ORD-00055,14073.89,3717.34,West,Electronics
2023-02-26,ORD-00056,3160.11,12821.16,North,Grocery
2023-02-27,ORD-00057,16969.88,5350.87,West,Grocery
2023-02-28,ORD-00058,7390.23,12829.5,South,Apparel
2023-03-01,ORD-00059,16655.85,4624.37,West,Apparel
2023-03-02,ORD-00060,18311.37,8936.74,East,Apparel
2023-03-03,ORD-00061,19331.86,6074.71,West,Grocery
2023-03-04,ORD-00062,3139.65,4267.41,North,Grocery
2023-03-05,ORD-00063,22942.29,13321.05,East,Grocery
