year_month,total_total_value_sale_free,cogs,region,category
2021-01-01,121218.87,70306.94,East,Apparel
2021-02-01,126640.06,73451.24,North,Electronics
2021-03-01,142190.26,82470.35,East,Apparel
2021-04-01,147162.26,85354.11,North,Electronics
2021-05-01,134984.32,78290.9,East,Apparel
2021-06-01,132791.28,77018.94,East,Electronics
2021-07-01,131311.36,76160.59,East,Grocery
2021-08-01,122335.03,70954.32,West,Grocery
2021-09-01,118744.34,68871.72,South,Electronics
2021-10-01,114787.82,66576.94,West,Grocery
2021-11-01,125929.13,73038.9,South,Grocery
2021-12-01,133911.17,77668.48,East,Apparel
2022-01-01,141864.12,82281.19,West,Apparel
2022-02-01,156908.96,91007.2,South,Grocery
2022-03-01,162658.49,94341.93,West,Grocery
2022-04-01,161562.83,93706.44,West,Grocery
2022-05-01,165863.46,96200.81,North,Grocery
2022-06-01,155764.47,90343.39,North,Apparel
2022-07-01,155913.8,90430.0,North,Electronics
2022-08-01,145000.3,84100.17,North,Electronics
2022-09-01,139672.09,81009.81,South,Grocery
2022-10-01,137076.28,79504.24,West,Electronics
2022-11-01,148901.71,86362.99,West,Electronics
2022-12-01,151781.88,88033.49,South,Electronics
2023-01-01,161486.69,93662.28,East,Apparel
2023-02-01,172591.47,100103.05,West,Apparel
2023-03-01,184517.69,107020.26,North,Apparel
2023-04-01,188061.78,109075.83,East,Grocery
2023-05-01,187639.39,108830.84,West,Apparel
2023-06-01,182923.28,106095.5,West,Electronics
2023-07-01,182566.59,105888.62,West,Apparel
2023-08-01,165174.34,95801.12,West,Grocery
2023-09-01,159962.57,92778.29,North,Apparel
2023-10-01,158144.91,91724.05,West,Electronics
2023-11-01,168075.46,97483.77,East,Grocery
2023-12-01,178515.89,103539.22,South,Apparel
2024-01-01,184344.21,106919.64,West,Grocery
2024-02-01,192239.37,111498.84,North,Grocery
2024-03-01,200690.53,116400.51,South,Electronics
2024-04-01,210802.37,122265.38,South,Grocery
2024-05-01,210561.47,122125.65,East,Electronics
2024-06-01,204972.62,118884.12,North,Electronics
2024-07-01,192937.96,111904.02,South,Apparel
2024-08-01,189328.65,109810.61,South,Grocery
2024-09-01,184078.29,106765.41,East,Grocery
2024-10-01,183874.75,106647.36,East,Grocery
2024-11-01,190697.26,110604.41,North,Apparel
2024-12-01,196494.38,113966.74,North,Electronics
